,record.id,best_hit_id,identity%,alignment_length,evalue,bitscore
1435,tr|E9PCT3|E9PCT3_HUMAN,bmy_02476T0,55.385,65,7.68e-18,73.6
1436,tr|E9PEW8|E9PEW8_HUMAN,bmy_22699T0,83.654,104,2.16e-62,186
1437,tr|E9PF91|E9PF91_HUMAN,bmy_21063T0,76.786,112,1.73e-63,189
1438,tr|E9PGR5|E9PGR5_HUMAN,bmy_18614T0,86.916,107,2.02e-64,195
1439,tr|E9PGW7|E9PGW7_HUMAN,bmy_17040T0,30.159,63,0.84,28.1
1440,tr|E9PHZ3|E9PHZ3_HUMAN,bmy_14372T0,82.716,81,6.31e-41,140
1441,tr|E9PI32|E9PI32_HUMAN,bmy_08512T0,99.160,119,2.43e-79,245
1442,tr|E9PI70|E9PI70_HUMAN,bmy_04997T0,80.000,115,9.29e-64,197
1443,tr|E9PIG6|E9PIG6_HUMAN,bmy_15482T0,94.393,107,2.95e-72,209
1444,tr|E9PIP0|E9PIP0_HUMAN,bmy_04997T0,79.832,119,4.20e-66,204
1445,tr|E9PIS9|E9PIS9_HUMAN,bmy_21062T0,75.163,153,7.88e-78,228
1446,tr|E9PJ97|E9PJ97_HUMAN,bmy_20026T0,99.029,103,3.15e-78,242
1447,tr|E9PJC1|E9PJC1_HUMAN,bmy_07566T0,81.818,44,8.72e-17,73.9
1448,tr|E9PKW0|E9PKW0_HUMAN,bmy_03267T0,66.897,145,8.86e-43,142
1449,tr|E9PKY7|E9PKY7_HUMAN,bmy_20296T0,98.851,87,7.97e-59,178
1450,tr|E9PLA7|E9PLA7_HUMAN,bmy_19269T0,90.598,117,4.52e-70,224
1451,tr|E9PLC5|E9PLC5_HUMAN,bmy_21658T0,90.000,100,2.68e-61,188
1452,tr|E9PLL6|E9PLL6_HUMAN,bmy_04477T0,97.170,106,3.53e-74,217
1453,tr|E9PLM5|E9PLM5_HUMAN,bmy_20842T0,98.113,53,2.58e-31,115
1454,tr|E9PLX7|E9PLX7_HUMAN,bmy_04477T0,73.649,148,6.75e-68,201
1455,tr|E9PM14|E9PM14_HUMAN,bmy_20167T0,50.000,40,0.079,30.8
1456,tr|E9PMB6|E9PMB6_HUMAN,bmy_10205T0,100.000,72,7.83e-43,147
1457,tr|E9PMQ3|E9PMQ3_HUMAN,bmy_10204T0,98.592,71,4.00e-48,155
1458,tr|E9PMW9|E9PMW9_HUMAN,bmy_06369T0,97.196,107,1.66e-72,218
1459,tr|E9PN73|E9PN73_HUMAN,bmy_08512T0,99.145,117,4.75e-78,241
1460,tr|E9PNH5|E9PNH5_HUMAN,bmy_07782T0,96.040,101,3.50e-61,184
1461,tr|E9PNH7|E9PNH7_HUMAN,bmy_11663T0,98.113,106,1.68e-72,212
1462,tr|E9PNR1|E9PNR1_HUMAN,bmy_07156T0,94.495,109,3.34e-67,205
1463,tr|E9PNW4|E9PNW4_HUMAN,bmy_21245T0,55.208,96,7.99e-32,107
1464,tr|E9PP97|E9PP97_HUMAN,bmy_22668T0,92.079,101,2.22e-67,202
1465,tr|E9PPH5|E9PPH5_HUMAN,bmy_11158T0,67.683,164,2.39e-65,197
1466,tr|E9PPR2|E9PPR2_HUMAN,bmy_04113T0,99.160,119,6.48e-83,250
1467,tr|E9PRM4|E9PRM4_HUMAN,bmy_01037T0,67.857,112,7.87e-54,170
1468,tr|E9PRS9|E9PRS9_HUMAN,bmy_10787T0,93.617,94,2.55e-57,183
1469,tr|E9PRW1|E9PRW1_HUMAN,bmy_02037T0,97.273,110,5.85e-76,224
1470,tr|E9PSD6|E9PSD6_HUMAN,bmy_02037T0,97.391,115,1.43e-79,233
1471,tr|E9PSF4|E9PSF4_HUMAN,bmy_01315T0,100.000,103,1.32e-71,212
1472,tr|F1AIH3|F1AIH3_HUMAN,bmy_16442T0,76.596,47,2.16e-21,84.0
1473,tr|F1B6S1|F1B6S1_HUMAN,bmy_16442T0,76.596,47,1.74e-21,84.3
1474,tr|F1B7M6|F1B7M6_HUMAN,bmy_16442T0,76.596,47,1.84e-21,84.3
1475,tr|F2WE31|F2WE31_HUMAN,bmy_16442T0,76.596,47,1.78e-21,84.3
1476,tr|F2WID9|F2WID9_HUMAN,bmy_16442T0,76.596,47,2.05e-21,84.0
1477,tr|F2WIF2|F2WIF2_HUMAN,bmy_16442T0,76.596,47,1.88e-21,84.3
1478,tr|F2WIH8|F2WIH8_HUMAN,bmy_16442T0,76.596,47,2.11e-21,84.0
1479,tr|F2WIK4|F2WIK4_HUMAN,bmy_16442T0,76.596,47,1.88e-21,84.3
1480,tr|F2WIP3|F2WIP3_HUMAN,bmy_16442T0,76.596,47,2.11e-21,84.0
1481,tr|F2Z2E3|F2Z2E3_HUMAN,bmy_13689T0,93.750,112,8.23e-74,226
1482,tr|F2Z2F1|F2Z2F1_HUMAN,bmy_01178T0,81.250,32,2.09e-13,60.1
1483,tr|F2Z2P2|F2Z2P2_HUMAN,bmy_01596T0,90.909,55,1.80e-26,97.4
1484,tr|F2Z2S8|F2Z2S8_HUMAN,bmy_01315T0,100.000,117,2.43e-79,233
1485,tr|F2Z371|F2Z371_HUMAN,bmy_20586T0,93.878,98,3.66e-61,198
1486,tr|F5CTF4|F5CTF4_HUMAN,bmy_01430T0,91.346,104,3.66e-56,177
1487,tr|F5GWT5|F5GWT5_HUMAN,bmy_10874T0,100.000,108,1.49e-72,220
1488,tr|F5GX39|F5GX39_HUMAN,bmy_01478T0,94.309,123,1.26e-81,237
1489,tr|F5GX75|F5GX75_HUMAN,bmy_00104T0,68.908,119,2.40e-52,169
1490,tr|F5GYE9|F5GYE9_HUMAN,bmy_11344T0,89.899,99,1.67e-59,192
1491,tr|F5GYM2|F5GYM2_HUMAN,bmy_16063T0,92.500,80,1.20e-51,164
1492,tr|F5GZI8|F5GZI8_HUMAN,bmy_19638T0,98.592,71,6.14e-41,141
1493,tr|F5GZV7|F5GZV7_HUMAN,bmy_11503T0,96.040,101,1.26e-54,166
1494,tr|F5H001|F5H001_HUMAN,bmy_05515T0,75.510,98,5.74e-47,149
1495,tr|F5H034|F5H034_HUMAN,bmy_16063T0,92.045,88,1.78e-57,180
1496,tr|F5H0C5|F5H0C5_HUMAN,bmy_11475T0,87.037,108,3.57e-65,197
1497,tr|F5H0C7|F5H0C7_HUMAN,bmy_05797T0,100.000,102,1.61e-71,211
1498,tr|F5H0N4|F5H0N4_HUMAN,bmy_11119T0,95.098,102,1.67e-67,198
1499,tr|F5H252|F5H252_HUMAN,bmy_01950T0,97.531,81,4.44e-56,172
1500,tr|F5H2A4|F5H2A4_HUMAN,bmy_18974T0,67.442,43,1.22e-08,49.7
1501,tr|F5H3C5|F5H3C5_HUMAN,bmy_19635T0,88.288,111,3.74e-71,211
1502,tr|F5H3P4|F5H3P4_HUMAN,bmy_11495T0,98.214,56,1.56e-34,122
1503,tr|F5H4R4|F5H4R4_HUMAN,bmy_16070T0,96.842,95,7.31e-67,197
1504,tr|F5H5Y9|F5H5Y9_HUMAN,bmy_17455T0,77.320,97,1.68e-51,165
1505,tr|F5H676|F5H676_HUMAN,bmy_19638T0,99.099,111,9.48e-71,221
1506,tr|F5H6N2|F5H6N2_HUMAN,bmy_10853T0,99.099,111,9.69e-74,229
1507,tr|F5H760|F5H760_HUMAN,bmy_09490T0,90.909,33,1.52e-17,70.1
1508,tr|F5H785|F5H785_HUMAN,bmy_00904T0,88.333,120,1.71e-73,217
1509,tr|F5H793|F5H793_HUMAN,bmy_03621T0,74.510,102,9.23e-48,154
1510,tr|F5H7C4|F5H7C4_HUMAN,bmy_17021T0,53.521,71,3.92e-21,83.6
1511,tr|F6L6Y3|F6L6Y3_HUMAN,bmy_22510T0,67.308,104,1.44e-46,155
1512,tr|F6RP93|F6RP93_HUMAN,bmy_18829T0,78.182,110,2.23e-58,180
1513,tr|F6WCI9|F6WCI9_HUMAN,bmy_02803T0,96.154,78,2.13e-50,156
1514,tr|F6WST4|F6WST4_HUMAN,bmy_16656T0,99.074,108,5.06e-77,223
1515,tr|F8S016|F8S016_HUMAN,bmy_16442T0,76.596,47,1.82e-21,84.3
1516,tr|F8VA07|F8VA07_HUMAN,bmy_16442T0,76.596,47,1.71e-21,84.3
1517,tr|F8VP67|F8VP67_HUMAN,bmy_04663T0,90.265,113,3.55e-67,212
1518,tr|F8VRX7|F8VRX7_HUMAN,bmy_05807T0,95.327,107,5.80e-72,219
1519,tr|F8VRZ4|F8VRZ4_HUMAN,bmy_05787T0,100.000,112,1.52e-77,234
1520,tr|F8VSF7|F8VSF7_HUMAN,bmy_19771T0,94.937,79,2.07e-46,157
1521,tr|F8VUW5|F8VUW5_HUMAN,bmy_07760T0,99.074,108,7.84e-71,208
1522,tr|F8VV32|F8VV32_HUMAN,bmy_07972T0,74.107,112,2.51e-52,165
1523,tr|F8VV65|F8VV65_HUMAN,bmy_03176T0,46.939,98,9.21e-25,94.4
1524,tr|F8VW30|F8VW30_HUMAN,bmy_19771T0,95.690,116,8.71e-73,229
1525,tr|F8VWV4|F8VWV4_HUMAN,bmy_05739T0,100.000,107,2.21e-76,225
1526,tr|F8VX58|F8VX58_HUMAN,bmy_04652T0,84.536,97,2.17e-49,160
1527,tr|F8VXD5|F8VXD5_HUMAN,bmy_03946T0,97.479,119,1.55e-82,237
1528,tr|F8VY00|F8VY00_HUMAN,bmy_17734T0,71.579,95,2.22e-43,143
1529,tr|F8VY51|F8VY51_HUMAN,bmy_04957T0,36.264,91,9.06e-12,59.7
1530,tr|F8W156|F8W156_HUMAN,bmy_04712T0,100.000,81,2.53e-55,169
1531,tr|F8W1K8|F8W1K8_HUMAN,bmy_08188T0,83.051,59,4.75e-29,105
1532,tr|F8W1L8|F8W1L8_HUMAN,bmy_03869T0,95.652,115,1.15e-75,226
1533,tr|F8W1Q9|F8W1Q9_HUMAN,bmy_20418T0,92.453,106,6.69e-69,213
1534,tr|F8W651|F8W651_HUMAN,bmy_04712T0,93.814,97,1.00e-60,183
1535,tr|F8WA74|F8WA74_HUMAN,bmy_21153T0,97.959,49,4.33e-25,90.5
1536,tr|F8WB63|F8WB63_HUMAN,bmy_12409T0,93.548,93,1.47e-59,186
1537,tr|F8WBE6|F8WBE6_HUMAN,bmy_22196T0,93.069,101,4.51e-52,166
1538,tr|F8WBK9|F8WBK9_HUMAN,bmy_02304T0,39.286,84,7.37e-12,59.7
1539,tr|F8WBX5|F8WBX5_HUMAN,bmy_15009T0,64.894,94,3.24e-38,125
1540,tr|F8WC47|F8WC47_HUMAN,bmy_01132T0,98.980,98,1.06e-66,197
1541,tr|F8WCA0|F8WCA0_HUMAN,bmy_01714T0,98.276,116,6.55e-81,232
1542,tr|F8WCF4|F8WCF4_HUMAN,bmy_16329T0,66.000,150,9.48e-61,189
1543,tr|F8WCJ1|F8WCJ1_HUMAN,bmy_16575T0,94.792,96,7.03e-66,192
1544,tr|F8WCJ9|F8WCJ9_HUMAN,bmy_03125T0,35.616,73,5.27e-06,42.7
1545,tr|F8WD38|F8WD38_HUMAN,bmy_00361T0,84.091,88,2.92e-49,154
1546,tr|F8WD60|F8WD60_HUMAN,bmy_11637T0,30.208,96,1.25e-08,50.8
1547,tr|F8WDF8|F8WDF8_HUMAN,bmy_09356T0,83.478,115,1.45e-63,196
1548,tr|F8WDM5|F8WDM5_HUMAN,bmy_13689T0,93.750,112,7.98e-74,226
1549,tr|F8WDR1|F8WDR1_HUMAN,bmy_18851T0,66.667,81,1.09e-36,127
1550,tr|F8WE65|F8WE65_HUMAN,bmy_16675T0,98.333,120,1.02e-85,246
1551,tr|F8WEI3|F8WEI3_HUMAN,bmy_16671T0,94.667,75,2.80e-42,144
1552,tr|F8WEJ7|F8WEJ7_HUMAN,bmy_13975T0,99.107,112,1.16e-74,234
1553,tr|G3C9Y8|G3C9Y8_HUMAN,bmy_16442T0,72.340,47,1.01e-19,79.7
1554,tr|G3CA01|G3CA01_HUMAN,bmy_16442T0,76.596,47,3.30e-21,83.6
1555,tr|G3CA14|G3CA14_HUMAN,bmy_16442T0,60.294,68,1.36e-21,84.7
1556,tr|G3EBM7|G3EBM7_HUMAN,bmy_16442T0,76.596,47,5.17e-21,83.2
1557,tr|G3V173|G3V173_HUMAN,bmy_11654T0,54.808,104,6.80e-27,95.5
1558,tr|G3V1A0|G3V1A0_HUMAN,bmy_03255T0,97.436,117,2.64e-81,236
1559,tr|G3V1D1|G3V1D1_HUMAN,bmy_20296T0,92.035,113,2.72e-76,223
1560,tr|G3V1D9|G3V1D9_HUMAN,bmy_03617T0,69.737,76,5.91e-35,114
1561,tr|G3V1N2|G3V1N2_HUMAN,bmy_01858T0,80.612,98,6.82e-49,159
1562,tr|G3V1W4|G3V1W4_HUMAN,bmy_18132T0,93.269,104,1.52e-63,202
1563,sp|G3V211|CL079_HUMAN,bmy_17922T0,34.483,29,3.8,26.2
1564,tr|G3V249|G3V249_HUMAN,bmy_13715T0,88.462,104,1.56e-62,192
1565,tr|G3V2N0|G3V2N0_HUMAN,bmy_20242T0,93.827,81,4.00e-49,152
1566,tr|G3V2R8|G3V2R8_HUMAN,bmy_14284T0,100.000,92,8.81e-63,197
1567,tr|G3V2S0|G3V2S0_HUMAN,bmy_13704T0,97.458,118,2.35e-81,242
1568,tr|G3V357|G3V357_HUMAN,bmy_13706T0,72.321,112,1.87e-56,170
1569,tr|G3V390|G3V390_HUMAN,bmy_08696T0,83.333,36,8.50e-15,67.0
1570,tr|G3V3C3|G3V3C3_HUMAN,bmy_13704T0,86.567,134,7.10e-80,238
1571,tr|G3V3J9|G3V3J9_HUMAN,bmy_20242T0,92.683,82,1.32e-49,153
1572,tr|G3V3S5|G3V3S5_HUMAN,bmy_21235T0,61.905,21,0.024,32.3
1573,tr|G3V3U4|G3V3U4_HUMAN,bmy_11905T0,36.000,75,6.62e-14,63.9
1574,tr|G3V420|G3V420_HUMAN,bmy_13704T0,55.462,119,5.59e-32,114
1575,tr|G3V4B1|G3V4B1_HUMAN,bmy_21235T0,61.905,21,0.021,32.3
1576,tr|G3V5C6|G3V5C6_HUMAN,bmy_06174T0,85.185,108,6.16e-61,182
1577,tr|G3V5D7|G3V5D7_HUMAN,bmy_13704T0,86.066,122,2.96e-70,213
1578,tr|G3V5D9|G3V5D9_HUMAN,bmy_13714T0,83.133,83,8.84e-37,126
1579,tr|G3V5E4|G3V5E4_HUMAN,bmy_09897T0,98.230,113,1.78e-79,231
1580,tr|G4XXL9|G4XXL9_HUMAN,bmy_12317T0,88.571,105,1.74e-65,192
1581,tr|G4Y816|G4Y816_HUMAN,bmy_08394T0,93.827,81,1.53e-39,133
1582,tr|G5D8J7|G5D8J7_HUMAN,bmy_16442T0,74.468,47,9.99e-21,82.4
1583,tr|G5E931|G5E931_HUMAN,bmy_05319T0,39.437,71,0.007,34.3
1584,tr|G5E9P5|G5E9P5_HUMAN,bmy_22124T0,81.081,37,1.51e-15,68.6
1585,tr|G9LBB5|G9LBB5_HUMAN,bmy_16442T0,76.596,47,1.84e-21,84.3
1586,tr|G9LBX3|G9LBX3_HUMAN,bmy_16442T0,76.596,47,2.09e-21,84.0
1587,tr|G9LCN3|G9LCN3_HUMAN,bmy_16442T0,76.596,47,2.09e-21,84.0
1588,tr|G9LDG9|G9LDG9_HUMAN,bmy_16442T0,76.596,47,1.98e-21,84.3
1589,tr|G9LE27|G9LE27_HUMAN,bmy_16442T0,76.596,47,1.71e-21,84.3
1590,tr|G9LGD3|G9LGD3_HUMAN,bmy_16442T0,76.596,47,1.86e-21,84.3
1591,tr|G9LI31|G9LI31_HUMAN,bmy_16442T0,76.596,47,2.05e-21,84.0
1592,tr|G9LIK0|G9LIK0_HUMAN,bmy_16442T0,76.596,47,2.56e-21,84.0
1593,tr|G9LK46|G9LK46_HUMAN,bmy_16442T0,76.596,47,1.84e-21,84.3
1594,tr|G9LKB1|G9LKB1_HUMAN,bmy_16442T0,76.596,47,1.88e-21,84.3
1595,tr|G9LL08|G9LL08_HUMAN,bmy_16442T0,72.340,47,1.43e-18,76.6
1596,tr|H0UI06|H0UI06_HUMAN,bmy_07890T0,87.805,82,2.56e-49,151
1597,tr|H0Y2N6|H0Y2N6_HUMAN,bmy_01121T0,100.000,105,1.79e-72,219
1598,tr|H0Y2Y4|H0Y2Y4_HUMAN,bmy_16244T0,50.413,121,1.17e-32,115
1599,tr|H0Y3I2|H0Y3I2_HUMAN,bmy_03553T0,84.404,109,2.01e-59,194
1600,tr|H0Y555|H0Y555_HUMAN,bmy_00066T0,44.828,29,2.5,26.6
1601,tr|H0Y562|H0Y562_HUMAN,bmy_08593T0,96.104,77,3.78e-50,161
1602,tr|H0Y5R3|H0Y5R3_HUMAN,bmy_15057T0,89.831,59,3.17e-35,121
1603,tr|H0Y763|H0Y763_HUMAN,bmy_12939T0,85.577,104,1.33e-62,187
1604,tr|H0Y8F6|H0Y8F6_HUMAN,bmy_12862T0,83.333,78,4.79e-40,140
1605,tr|H0Y8P6|H0Y8P6_HUMAN,bmy_17131T0,89.831,59,1.89e-33,113
1606,tr|H0Y8S0|H0Y8S0_HUMAN,bmy_12142T0,93.269,104,3.14e-60,194
1607,tr|H0Y998|H0Y998_HUMAN,bmy_21103T0,95.327,107,5.86e-65,199
1608,tr|H0Y9E2|H0Y9E2_HUMAN,bmy_05819T0,97.674,86,3.28e-58,177
1609,tr|H0Y9L8|H0Y9L8_HUMAN,bmy_13189T0,80.000,125,7.00e-66,205
1610,tr|H0Y9M8|H0Y9M8_HUMAN,bmy_10388T0,26.744,86,2.2,26.9
1611,tr|H0Y9P8|H0Y9P8_HUMAN,bmy_07380T0,88.542,96,9.04e-56,184
1612,tr|H0Y9V9|H0Y9V9_HUMAN,bmy_22288T0,99.115,113,2.48e-79,230
1613,tr|H0YA52|H0YA52_HUMAN,bmy_19760T0,77.419,93,4.94e-48,149
1614,tr|H0YAI5|H0YAI5_HUMAN,bmy_05458T0,94.949,99,4.83e-68,201
1615,tr|H0YAR6|H0YAR6_HUMAN,bmy_10226T0,51.485,101,1.09e-32,119
1616,tr|H0YBI8|H0YBI8_HUMAN,bmy_00037T0,73.333,105,7.39e-46,155
1617,tr|H0YC89|H0YC89_HUMAN,bmy_04997T0,89.720,107,1.03e-65,202
1618,tr|H0YCQ1|H0YCQ1_HUMAN,bmy_08075T0,33.333,39,0.44,28.5
1619,tr|H0YCS7|H0YCS7_HUMAN,bmy_20603T0,94.340,106,2.08e-71,218
1620,tr|H0YCS9|H0YCS9_HUMAN,bmy_20711T0,32.911,79,1.42e-06,44.3
1621,tr|H0YD35|H0YD35_HUMAN,bmy_14266T0,87.500,48,1.95e-24,93.2
1622,tr|H0YD96|H0YD96_HUMAN,bmy_11654T0,52.727,110,1.33e-29,102
1623,tr|H0YDR4|H0YDR4_HUMAN,bmy_14338T0,79.762,84,2.93e-23,87.8
1624,tr|H0YDY4|H0YDY4_HUMAN,bmy_06315T0,95.413,109,1.00e-72,218
1625,tr|H0YE51|H0YE51_HUMAN,bmy_17021T0,60.417,96,5.82e-31,108
1626,tr|H0YEA2|H0YEA2_HUMAN,bmy_02513T0,88.525,61,4.06e-30,107
1627,tr|H0YEA6|H0YEA6_HUMAN,bmy_08159T0,87.209,86,7.02e-49,162
1628,tr|H0YEL3|H0YEL3_HUMAN,bmy_01483T0,56.471,85,3.53e-27,103
1629,tr|H0YF02|H0YF02_HUMAN,bmy_02513T0,88.525,61,3.15e-30,107
1630,tr|H0YFC6|H0YFC6_HUMAN,bmy_00523T0,89.024,82,8.59e-47,146
1631,tr|H0YFH9|H0YFH9_HUMAN,bmy_14189T0,48.649,74,1.90e-16,72.4
1632,tr|H0YGN0|H0YGN0_HUMAN,bmy_01236T0,58.015,131,1.96e-42,137
1633,tr|H0YHK2|H0YHK2_HUMAN,bmy_05763T0,84.615,78,8.59e-40,134
1634,tr|H0YHZ5|H0YHZ5_HUMAN,bmy_02007T0,41.176,34,0.002,36.2
1635,tr|H0YI19|H0YI19_HUMAN,bmy_02007T0,45.361,97,4.49e-26,100
1636,tr|H0YIZ8|H0YIZ8_HUMAN,bmy_07910T0,92.105,114,5.51e-74,223
1637,tr|H0YJ36|H0YJ36_HUMAN,bmy_16970T0,94.048,84,2.15e-54,172
1638,tr|H0YJ90|H0YJ90_HUMAN,bmy_13713T0,53.271,107,2.64e-28,102
1639,tr|H0YJN3|H0YJN3_HUMAN,bmy_04199T0,86.458,96,6.35e-56,186
1640,tr|H0YJS0|H0YJS0_HUMAN,bmy_07902T0,94.643,112,1.88e-70,212
1641,tr|H0YK03|H0YK03_HUMAN,bmy_08704T0,97.222,108,2.60e-56,185
1642,tr|H0YKB3|H0YKB3_HUMAN,bmy_12683T0,90.805,87,4.53e-53,168
1643,tr|H0YKD0|H0YKD0_HUMAN,bmy_13471T0,83.117,77,1.25e-43,145
1644,tr|H0YKD5|H0YKD5_HUMAN,bmy_08750T0,34.848,66,1.9,26.9
1645,tr|H0YKL9|H0YKL9_HUMAN,bmy_04597T0,70.323,155,3.86e-66,202
1646,tr|H0YKZ7|H0YKZ7_HUMAN,bmy_04597T0,71.951,164,1.82e-72,219
1647,tr|H0YLA2|H0YLA2_HUMAN,bmy_01840T0,92.683,82,4.23e-52,159
1648,tr|H0YM93|H0YM93_HUMAN,bmy_20427T0,96.226,106,1.06e-66,215
1649,tr|H0YMA4|H0YMA4_HUMAN,bmy_15368T0,95.062,81,1.15e-50,156
1650,tr|H0YMF4|H0YMF4_HUMAN,bmy_16778T0,95.775,71,4.43e-46,145
1651,tr|H0YMJ1|H0YMJ1_HUMAN,bmy_19428T0,100.000,63,5.04e-42,133
1652,tr|H0YMJ4|H0YMJ4_HUMAN,bmy_05036T0,92.233,103,3.11e-64,208
1653,tr|H0YMR0|H0YMR0_HUMAN,bmy_12692T0,40.541,111,2.97e-13,63.5
1654,tr|H0YMV8|H0YMV8_HUMAN,bmy_09694T0,96.341,82,3.42e-55,165
1655,tr|H0YNK8|H0YNK8_HUMAN,bmy_18106T0,96.078,102,1.97e-69,204
1656,tr|H0YNW7|H0YNW7_HUMAN,bmy_20428T0,93.258,89,3.51e-53,168
1657,tr|H0YNX5|H0YNX5_HUMAN,bmy_10351T0,100.000,106,2.46e-74,218
1658,tr|H3BM50|H3BM50_HUMAN,bmy_02714T0,90.476,126,1.16e-79,236
1659,tr|H3BMT0|H3BMT0_HUMAN,bmy_01924T0,84.906,106,1.33e-57,175
1660,tr|H3BMW7|H3BMW7_HUMAN,bmy_08607T0,36.667,30,2.3,26.9
1661,tr|H3BN11|H3BN11_HUMAN,bmy_21902T0,93.878,98,7.25e-63,187
1662,tr|H3BN40|H3BN40_HUMAN,bmy_04257T0,94.444,90,1.89e-60,181
1663,tr|H3BN92|H3BN92_HUMAN,bmy_15704T0,78.689,122,1.87e-64,197
1664,tr|H3BNE3|H3BNE3_HUMAN,bmy_17281T0,96.667,90,5.27e-49,153
1665,tr|H3BNI4|H3BNI4_HUMAN,bmy_02727T0,97.321,112,2.18e-69,204
1666,tr|H3BNR5|H3BNR5_HUMAN,bmy_15081T0,91.262,103,2.19e-64,197
1667,tr|H3BNV1|H3BNV1_HUMAN,bmy_11094T0,96.040,101,9.18e-68,200
1668,tr|H3BP09|H3BP09_HUMAN,bmy_10372T0,100.000,114,7.82e-80,238
1669,tr|H3BP27|H3BP27_HUMAN,bmy_14468T0,84.314,51,2.13e-22,89.0
1670,tr|H3BP43|H3BP43_HUMAN,bmy_14298T0,79.279,111,4.00e-63,199
1671,tr|H3BP63|H3BP63_HUMAN,bmy_01528T0,84.000,75,3.74e-41,130
1672,tr|H3BPG0|H3BPG0_HUMAN,bmy_06746T0,82.558,86,3.42e-49,155
1673,tr|H3BPK2|H3BPK2_HUMAN,bmy_00054T0,36.000,50,0.047,32.0
1674,tr|H3BPP0|H3BPP0_HUMAN,bmy_21689T0,97.403,77,4.26e-53,171
1675,tr|H3BPW3|H3BPW3_HUMAN,bmy_12170T0,86.316,95,1.13e-43,145
1676,tr|H3BQ99|H3BQ99_HUMAN,bmy_00740T0,100.000,110,1.53e-69,223
1677,tr|H3BQP1|H3BQP1_HUMAN,bmy_21663T0,74.046,131,2.64e-55,182
1678,tr|H3BQS5|H3BQS5_HUMAN,bmy_14298T0,80.374,107,1.55e-60,192
1679,tr|H3BQY4|H3BQY4_HUMAN,bmy_10933T0,100.000,98,1.91e-67,205
1680,sp|H3BR10|SMLR1_HUMAN,bmy_14369T0,75.000,72,3.01e-29,99.8
1681,tr|H3BR18|H3BR18_HUMAN,bmy_15856T0,87.156,109,1.92e-67,201
1682,tr|H3BRE2|H3BRE2_HUMAN,bmy_19153T0,100.000,66,1.47e-40,135
1683,tr|H3BRM6|H3BRM6_HUMAN,bmy_11913T0,77.451,102,7.38e-55,169
1684,tr|H3BRV9|H3BRV9_HUMAN,bmy_05246T0,100.000,107,2.24e-77,223
1685,tr|H3BS22|H3BS22_HUMAN,bmy_01501T0,98.276,116,6.82e-83,241
1686,tr|H3BS59|H3BS59_HUMAN,bmy_10932T0,100.000,100,4.27e-68,201
1687,tr|H3BTA6|H3BTA6_HUMAN,bmy_01512T0,94.059,101,1.09e-52,167
1688,tr|H3BU72|H3BU72_HUMAN,bmy_14468T0,73.394,109,2.01e-50,161
1689,tr|H3BUK3|H3BUK3_HUMAN,bmy_11615T0,89.583,96,3.52e-52,174
1690,tr|H3BV48|H3BV48_HUMAN,bmy_02338T0,96.000,100,1.00e-66,207
1691,tr|H3BV69|H3BV69_HUMAN,bmy_01499T0,94.872,78,2.46e-49,155
1692,tr|H3BVE2|H3BVE2_HUMAN,bmy_12185T0,84.685,111,1.20e-58,185
1693,tr|H3BVG9|H3BVG9_HUMAN,bmy_10382T0,88.793,116,3.28e-65,198
1694,tr|H6SG15|H6SG15_HUMAN,bmy_05746T0,83.486,109,1.22e-63,187
1695,tr|H6UYS5|H6UYS5_HUMAN,bmy_16893T0,65.000,100,3.77e-33,111
1696,tr|H7BYE5|H7BYE5_HUMAN,bmy_19229T0,84.211,38,4.86e-18,72.4
1697,tr|H7BZC1|H7BZC1_HUMAN,bmy_15219T0,97.368,76,2.81e-48,152
1698,tr|H7BZK5|H7BZK5_HUMAN,bmy_22095T0,77.586,116,4.57e-59,180
1699,tr|H7BZW5|H7BZW5_HUMAN,bmy_00827T0,90.741,108,6.57e-67,206
1700,tr|H7C045|H7C045_HUMAN,bmy_20079T0,46.667,15,8.8,25.4
1701,tr|H7C0F2|H7C0F2_HUMAN,bmy_02305T0,91.176,68,1.62e-39,130
1702,tr|H7C125|H7C125_HUMAN,bmy_00773T0,98.913,92,4.72e-62,187
1703,tr|H7C1A5|H7C1A5_HUMAN,bmy_02787T0,39.394,33,1.7,27.3
1704,tr|H7C293|H7C293_HUMAN,bmy_14702T0,90.000,40,1.06e-17,73.2
1705,tr|H7C2B7|H7C2B7_HUMAN,bmy_17021T0,44.792,96,2.17e-20,81.6
1706,tr|H7C2D7|H7C2D7_HUMAN,bmy_12080T0,92.391,92,5.41e-49,153
1707,tr|H7C2E8|H7C2E8_HUMAN,bmy_01111T0,63.366,101,1.43e-33,120
1708,tr|H7C2G7|H7C2G7_HUMAN,bmy_18749T0,59.633,109,1.36e-35,124
1709,tr|H7C2P7|H7C2P7_HUMAN,bmy_05022T0,89.706,68,5.90e-39,126
1710,tr|H7C2T1|H7C2T1_HUMAN,bmy_01980T0,96.875,64,3.41e-42,138
1711,tr|H7C2W9|H7C2W9_HUMAN,bmy_11057T0,100.000,102,1.57e-70,207
1712,tr|H7C420|H7C420_HUMAN,bmy_08726T0,52.874,87,2.26e-25,96.3
1713,tr|H7C4G0|H7C4G0_HUMAN,bmy_21492T0,94.949,99,3.58e-67,199
1714,tr|H7C4X6|H7C4X6_HUMAN,bmy_16090T0,84.444,45,9.43e-22,81.6
